Comment[SPOT_ID]	Comment[CONTROL_TYPE]	Comment[ORF]	Comment[GENE_NAME]	Comment[ACCESSION_STRING]	Reporter Comment
	FALSE	ECs0377	putative ABC transport system permease	cmr|ECs0377|asap|ACA-0130268	putative permease of ABC transporter [ECs0377]
cmr|b4274	FALSE			cmr|b4274	orf, hypothetical protein [b4274]
	FALSE	yfiM	predicted protein	cmr|b2586|asap|ABE-0008513	orf, hypothetical protein [b2586]
	FALSE	uidR	DNA-binding transcriptional repressor	cmr|b1618|asap|ABE-0005415	repressor for uid operon [b1618]
	FALSE	mhpR	DNA-binding transcriptional activator, 3HPP-binding	cmr|b0346|asap|ABE-0001191	transcriptional regulator for mhp operon [b0346]
	FALSE	Z5950	orf; conserved hypothetical protein	cmr|Z5950|asap|ABH-0029523	orf conserved hypothetical protein [Z5950]
	FALSE	frdD	fumarate reductase (anaerobic), membrane anchor subunit	cmr|b4151|asap|ABE-0013595	fumarate reductase, anaerobic, membrane anchor polypeptide [b4151]
	FALSE	yiiS	conserved protein	cmr|b3922|asap|ABE-0012813	orf, hypothetical protein [b3922]
	FALSE	Z2101	putative endonuclease encoded within prophage CP-933O	cmr|Z2101|asap|ABH-0025880	putative endonuclease encoded within prophage CP-933O [Z2101]
	FALSE	Z3843	hypothetical protein	cmr|Z3843|asap|ABH-0027535	orf Unknown function [Z3843]
	FALSE	tyrP	Tyrosine-specific transport protein	cmr|c_2323|asap|ABR-0078442	Tyrosine-specific transport protein [c_2323]
	FALSE	cysJ	sulfite reductase subunit alpha	cmr|c_3323|asap|ABR-0079479	Sulfite reductase [c_3323]
	FALSE	yidJ	Putative sulfatase yidJ	cmr|c_4601|asap|ABR-0080785	Putative sulfatase yidJ [c_4601]
	FALSE	ycaO	conserved protein	cmr|b0905|asap|ABE-0003081	orf, hypothetical protein [b0905]
cmr|c_1165|asap|ABR-0077259	FALSE			cmr|c_1165|asap|ABR-0077259	Putative P4-family integrase [c_1165]
	FALSE	ECs3104	outer membrane porin protein C	cmr|ECs3104|asap|ACA-0133113	outer membrane protein C OmpC [ECs3104]
	FALSE	Z2372	unknown protein encoded within prophage CP-933R	cmr|Z2372|cmr|Z6052|cmr|Z1351|cmr|Z2070	unknown protein encoded within prophage CP-933R [Z2372]
	FALSE	tmk	thymidylate kinase	cmr|b1098|asap|ABE-0003714	thymidylate kinase [b1098]
cmr|c_1667|asap|ABR-0077778	FALSE			cmr|c_1667|asap|ABR-0077778	Outer-membrane lipoprotein lolB precursor [c_1667]
cmr|c_3692|asap|ABR-0079862	FALSE			cmr|c_3692|asap|ABR-0079862	Hypothetical protein [c_3692]
	FALSE	Z3162	IS629 transposase	cmr|Z3162|cmr|Z1957|cmr|Z3297|cmr|Z3095	IS629 transposase [Z3162]
	FALSE	ydiP	predicted DNA-binding transcriptional regulator	cmr|b1696|asap|ABE-0005660	putative ARAC-type regulatory protein [b1696]
	FALSE	adiA	biodegradative arginine decarboxylase	cmr|b4117|asap|ABE-0013483	biodegradative arginine decarboxylase [b4117]
cmr|c_1235|asap|ABR-0077333	FALSE			cmr|c_1235|asap|ABR-0077333	Conserved hypothetical protein [c_1235]
	FALSE	hisB	fused histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase	cmr|b2022|asap|ABE-0006720	imidazoleglycerolphosphate dehydratase and histidinol-phosphate phosphatase [b2022]
	FALSE	sspA	stringent starvation protein A	cmr|b3229|asap|ABE-0010594	regulator of transcription; stringent starvation protein A [b3229]
	FALSE	ECs1593	putative head-tail adaptor	cmr|ECs1593|asap|ACA-0131542	putative head-tail adaptor [ECs1593]
	FALSE	cysU	sulfate/thiosulfate transporter subunit	cmr|c_2958|asap|ABR-0079102	Sulfate transport system permease protein cysT [c_2958]
	FALSE	cysM	cysteine synthase B	cmr|c_2955|asap|ABR-0079099	Cysteine synthase B [c_2955]
	FALSE	ymfR	e14 prophage; predicted protein	cmr|b1150|asap|ABE-0003868	orf, hypothetical protein [b1150]
cmr|c_0268|cmr|c_1529|cmr|c_2509|cmr|c_3608	FALSE			cmr|c_0268|cmr|c_1529|cmr|c_2509|cmr|c_3608	Hypothetical protein [c_0268]
	FALSE	metJ	transcriptional repressor protein MetJ	cmr|c_4891|asap|ABR-0081089	Met repressor [c_4891]
	FALSE	yeaQ	conserved inner membrane protein	cmr|b1795|asap|ABE-0005974	orf, hypothetical protein [b1795]
cmr|c_1472|asap|ABR-0077580	FALSE			cmr|c_1472|asap|ABR-0077580	Hypothetical protein [c_1472]
	FALSE	cheW	purine-binding chemotaxis protein	cmr|b1887|asap|ABE-0006292	positive regulator of CheA protein activity [b1887]
	FALSE	ECs3799	hypothetical protein	cmr|ECs3799|asap|ACA-0133842	hypothetical protein [ECs3799]
	FALSE	etp	phosphotyrosine-protein phosphatase	cmr|ECs1138|asap|ACA-0131059	putative phosphatase [ECs1138]
cmr|c_5296|asap|ABR-0081509	FALSE			cmr|c_5296|asap|ABR-0081509	Hypothetical protein [c_5296]
	FALSE	ECs4552	EscF	cmr|ECs4552|asap|ACA-0134630	EscF protein [ECs4552]
	FALSE	ECs1370	putative glucosyl-transferase	cmr|ECs1370|asap|ACA-0131311	putative glucosyl-transferase [ECs1370]
	FALSE	yncD	predicted iron outer membrane transporter	cmr|b1451|asap|ABE-0004839	putative outer membrane receptor for iron transport [b1451]
	FALSE	mukB	fused chromosome partitioning protein: predicted nucleotide hydrolase/conserved protein/conserved protein	cmr|b0924|asap|ABE-0003138	kinesin-like cell division protein involved in chromosome partitioning [b0924]
	FALSE	nrdF	ribonucleotide-diphosphate reductase subunit beta	cmr|c_3229|asap|ABR-0079379	Ribonucleoside-diphosphate reductase 2 beta chain [c_3229]
	FALSE	fabB	3-oxoacyl-[acyl-carrier-protein] synthase I	cmr|b2323|asap|ABE-0007675	3-oxoacyl- [b2323]
	FALSE	ECs2853	phosphomannomutase	cmr|ECs2853|asap|ACA-0132858	phosphomannomutase [ECs2853]
	FALSE	ureA	urease subunit gamma	cmr|Z1143|cmr|Z1582|asap|ABH-0024966|asap|ABH-0025388	putative urease structural subunit A [Z1143]
	FALSE	ECs3850	putative virulence-related membrane protein	cmr|ECs3850|asap|ACA-0133896	putative virulence-related membrane protein [ECs3850]
cmr|c_1989|cmr|c_1988|asap|ABR-0078103|asap|ABR-0078104	FALSE			cmr|c_1989|cmr|c_1988|asap|ABR-0078103|asap|ABR-0078104	Putative acid shock protein [c_1989]
	FALSE	ydjK	predicted transporter	cmr|b1775|asap|ABE-0005910	putative transport protein [b1775]
cmr|c_2465	FALSE			cmr|c_2465	Hypothetical protein [c_2465]
	FALSE	glpT	sn-glycerol-3-phosphate transporter	cmr|b2240|asap|ABE-0007401	sn-glycerol-3-phosphate permease [b2240]
cmr|c_4179|asap|ABR-0080355	FALSE			cmr|c_4179|asap|ABR-0080355	Hypothetical protein yiaG [c_4179]
	FALSE	ygjK	predicted glycosyl hydrolase	cmr|b3080|asap|ABE-0010118	putative isomerase [b3080]
	FALSE	ECs1246	hypothetical protein	cmr|ECs1246|asap|ACA-0131174	hypothetical protein [ECs1246]
	FALSE	ycfJ	predicted protein	cmr|b1110|asap|ABE-0003752	orf, hypothetical protein [b1110]
	FALSE	ECs3874	putative glutathione S-transferase YghU	cmr|ECs3874|asap|ACA-0133931	hypothetical protein [ECs3874]
	FALSE	Z0313	partial replication protein P for prophage CP-933H	cmr|Z0313|asap|ABH-0024201	partial replication protein P for prophage CP-933H [Z0313]
	FALSE	Z1555	hypothetical protein	cmr|Z1555|asap|ABH-0025360	orf Unknown function [Z1555]
cmr|c_1487|asap|ABR-0077595	FALSE			cmr|c_1487|asap|ABR-0077595	Hypothetical protein [c_1487]
	FALSE	ECs0243	hypothetical protein	cmr|ECs0243|asap|ACA-0130130	hypothetical protein [ECs0243]
	FALSE	paaB	predicted multicomponent oxygenase/reductase subunit for phenylacetic acid degradation	cmr|b1389|asap|ABE-0004651	orf, hypothetical protein [b1389]
	FALSE	Z0946	putative integrase encoded by prophage CP-933K; partial	cmr|Z0946|asap|ABH-0024773	putative integrase encoded by prophage CP-933K partial [Z0946]
	FALSE	gmm	GDP-mannose mannosyl hydrolase	cmr|b2051|asap|ABE-0006796	GDP-mannose mannosyl hydrolase [b2051]
	FALSE	yedI	conserved inner membrane protein	cmr|b1958|asap|ABE-0006500	orf, hypothetical protein [b1958]
	FALSE	ECs1494	outer membrane-specific lipoprotein transporter subunit LolC	cmr|ECs1494|asap|ACA-0131441	hypothetical protein [ECs1494]
	FALSE	ECs4802	putative aldose-1-epimerase	cmr|ECs4802|asap|ACA-0134898	putative aldose-1-epimerase [ECs4802]
	FALSE	yafE	predicted S-adenosyl-L-methionine-dependent methyltransferase	cmr|b0210|asap|ABE-0000702	putative biotin synthesis protein [b0210]
	FALSE	yfcB	N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase	cmr|c_2876|asap|ABR-0079013	Hypothetical adenine-specific methylase yfcB [c_2876]
	FALSE	barA	hybrid sensory histidine kinase, in two-component regulatory system with UvrY	cmr|b2786|asap|ABE-0009131	sensor-regulator, activates OmpR by phophorylation [b2786]
	FALSE	Z2259	unknown protein associated with Rhs element	cmr|Z2259|asap|ABH-0026034	unknown protein associated with Rhs element [Z2259]
	FALSE	waaD	putative LPS biosynthesis enzyme	cmr|Z5050|asap|ABH-0028695	putative LPS biosynthesis enzyme [Z5050]
	FALSE	ECs1952	hypothetical protein	cmr|ECs1952|asap|ACA-0131917	hypothetical protein [ECs1952]
	FALSE	ribA	GTP cyclohydrolase II	cmr|b1277|asap|ABE-0004285	GTP cyclohydrolase II [b1277]
	FALSE	pgaD	predicted inner membrane protein	cmr|b1021|asap|ABE-0003460	orf, hypothetical protein [b1021]
	FALSE	pyrH	uridylate kinase	cmr|b0171|asap|ABE-0000582	uridylate kinase [b0171]
	FALSE	rtn	conserved protein	cmr|b2176|asap|ABE-0007203	orf, hypothetical protein [b2176]
	FALSE	yedJ	hypothetical protein	cmr|c_2381|asap|ABR-0078504	Hypothetical protein yedJ [c_2381]
	FALSE	sgaU	L-xylulose 5-phosphate 3-epimerase	cmr|Z5806|asap|ABH-0029375	putative hexulose-6-phosphate isomerase [Z5806]
	FALSE	Z4875	putative phosphotransferase system enzyme subunit	cmr|Z4875|asap|ABH-0028528	putative phosphotransferase system enzyme subunit [Z4875]
	FALSE	Z1190	putative glucosyltransferase	cmr|Z1190|cmr|Z1629|asap|ABH-0025435|asap|ABH-0025013	putative glucosyltransferase [Z1190]
	FALSE	ECs4993	hypothetical protein	cmr|ECs4993|asap|ACA-0135105	hypothetical protein [ECs4993]
	FALSE	frwC	PTS system, fructose-like-2 IIC component	cmr|c_4907|asap|ABR-0081105	PTS system, fructose-like-2 IIC component [c_4907]
	FALSE	prfH	peptide chain release factor-like protein	cmr|Z0297|asap|ABH-0024184	probable peptide chain release factor [Z0297]
	FALSE	ymbA	conserved protein	cmr|b0952|asap|ABE-0003223	orf, hypothetical protein [b0952]
cmr|c_4302|asap|ABR-0080478	FALSE			cmr|c_4302|asap|ABR-0080478	Conserved hypothetical protein [c_4302]
cmr|c_2608|asap|ABR-0078742	FALSE			cmr|c_2608|asap|ABR-0078742	Hypothetical protein [c_2608]
	FALSE	ydfD	Qin prophage; predicted protein	cmr|b1576|asap|ABE-0005262	orf, hypothetical protein [b1576]
	FALSE	sbcD	exonuclease, dsDNA, ATP-dependent	cmr|b0398|asap|ABE-0001383	ATP-dependent dsDNA exonuclease [b0398]
	FALSE	ECs4431	putative fimbrial major protein precursor	cmr|ECs4431|asap|ACA-0134504	putative fimbrial major protein precursor [ECs4431]
	FALSE	yhcR	hypothetical protein	cmr|Z4601|asap|ABH-0028270	orf, hypothetical protein [Z4601]
asap|ABR-0081753	FALSE			asap|ABR-0081753	predicted protein []
cmr|c_3664|cmr|c_1274|asap|ABR-0077376|asap|ABR-0079834	FALSE			cmr|c_3664|cmr|c_1274|asap|ABR-0077376|asap|ABR-0079834	Hypothetical protein yeeR [c_3664]
	FALSE	ECs2213	hypothetical protein	cmr|ECs2213|cmr|ECs1060|asap|ACA-0132186|asap|ACA-0130975	hypothetical protein [ECs2213]
	FALSE	ECs0941	putative PTS system enzyme IIB	cmr|ECs0941|asap|ACA-0130854	putative PTS system enzyme IIB [ECs0941]
	FALSE	glpF	glycerol facilitator	cmr|b3927|asap|ABE-0012828	facilitated diffusion of glycerol [b3927]
	FALSE	yadN	putative fimbrial protein	cmr|Z0152|asap|ABH-0024058	putative fimbrial protein [Z0152]
	FALSE	Z2264	hypothetical protein	cmr|Z2264|asap|ABH-0026038	orf, hypothetical protein [Z2264]
	FALSE	yafJ	predicted amidotransfease	cmr|b0223|asap|ABE-0000755	putative amidotransferase [b0223]
	FALSE	yiiG	hypothetical protein	cmr|Z5439|asap|ABH-0029045	orf, hypothetical protein [Z5439]
	FALSE	yoaB	conserved protein	cmr|b1809|asap|ABE-0006020	orf, hypothetical protein [b1809]
	FALSE	Z4955	hypothetical protein	cmr|Z4955	orf Unknown function [Z4955]
	FALSE	uidA	beta-D-glucuronidase	cmr|b1617|asap|ABE-0005410	beta-D-glucuronidase [b1617]
	FALSE	gntR	DNA-binding transcriptional repressor	cmr|b3438|asap|ABE-0011226	regulator of gluconate [b3438]
cmr|ECs2782|asap|ACA-0132780	FALSE			cmr|ECs2782|asap|ACA-0132780	hypothetical protein [ECs2782]
	FALSE	Z5692	putative histidine kinase	cmr|Z5692|asap|ABH-0029266	putative histidine kinase [Z5692]
	FALSE	php	predicted hydrolase	cmr|b3379|asap|ABE-0011044	putative hydrolase [b3379]
	FALSE	ydjE	predicted transporter	cmr|b1769|asap|ABE-0005894	putative transport protein [b1769]
	FALSE	ycdU	predicted inner membrane protein	cmr|b1029|asap|ABE-0003489	orf, hypothetical protein [b1029]
	FALSE	yadI	predicted PTS Enzyme IIA	cmr|b0129|asap|ABE-0000453	putative PTS enzyme II B component [b0129]
cmr|c_5375|cmr|c_5376|asap|ABR-0081591|asap|ABR-0081590	FALSE			cmr|c_5375|cmr|c_5376|asap|ABR-0081591|asap|ABR-0081590	Hypothetical protein [c_5375]
	FALSE	rumB	23S rRNA metyluridine methyltransferase	cmr|Z1086|asap|ABH-0024909	putative enzyme [Z1086]
	FALSE	espF	espF	cmr|Z5100|asap|ABH-0028743	espF [Z5100]
	FALSE	matA	Hypothetical protein ykgK	cmr|c_0405|asap|ABR-0076481	Hypothetical protein ykgK [c_0405]
cmr|b2885|asap|ABE-0174113	FALSE			cmr|b2885|asap|ABE-0174113	putative oxidoreductase [b2885]
	FALSE	recJ	ssDNA exonuclease RecJ	cmr|c_3472|asap|ABR-0079633	Single-stranded-DNA-specific exonuclease recJ [c_3472]
cmr|ECs2233|cmr|ECs1121|cmr|ECs1806|cmr|ECs2943	FALSE			cmr|ECs2233|cmr|ECs1121|cmr|ECs1806|cmr|ECs2943	putative host specificity protein [ECs2233]
	FALSE	ECs1958	putative antitermination protein	cmr|ECs1958|cmr|ECs2193|asap|ACA-0131923|asap|ACA-0132166	putative antitermination protein [ECs1958]
	FALSE	xylB	xylulokinase	cmr|b3564|asap|ABE-0011637	xylulokinase [b3564]
	FALSE	ECs2964	hypothetical protein	cmr|ECs2964|asap|ACA-0132971	hypothetical protein [ECs2964]
	FALSE	Z6027	putative tail fiber protein of cryptic prophage CP-933P	cmr|Z6027|cmr|Z0982|cmr|Z3074|asap|ABH-0026312	putative tail fiber protein of cryptic prophage [Z6027]
	FALSE	yeeF	predicted amino-acid transporter	cmr|b2014|asap|ABE-0006696	putative amino acid/amine transport protein [b2014]
	FALSE	pqqL	predicted peptidase	cmr|b1494|asap|ABE-0004979	putative peptidase [b1494]
cmr|c_0795|asap|ABR-0076879	FALSE			cmr|c_0795|asap|ABR-0076879	Putative conserved protein [c_0795]
	FALSE	yjiK	conserved protein	cmr|b4333|asap|ABE-0014209	orf, hypothetical protein [b4333]
cmr|Z2342|cmr|Z1381|cmr|Z1917|cmr|Z2146	FALSE			cmr|Z2342|cmr|Z1381|cmr|Z1917|cmr|Z2146	partial putative outer membrane protein Lom precursor [Z2342]
cmr|c_2450|asap|ABR-0078579	FALSE			cmr|c_2450|asap|ABR-0078579	Hypothetical protein [c_2450]
	FALSE	Z1200	hypothetical protein	cmr|Z1200|cmr|Z1640|asap|ABH-0025023|asap|ABH-0025446	orf Unknown function [Z1200]
	FALSE	ycbL	hypothetical protein	cmr|Z1274|asap|ABH-0025091	orf, hypothetical protein [Z1274]
	FALSE	ECs1557	putative antirepressor protein	cmr|ECs1557|asap|ACA-0131504	putative antirepressor protein [ECs1557]
	FALSE	gntK	gluconate kinase 1	cmr|c_4225|asap|ABR-0080401	Thermoresistant gluconokinase [c_4225]
	FALSE	yiiS	hypothetical protein	cmr|Z5467|asap|ABH-0029072	orf, hypothetical protein [Z5467]
	FALSE	Z5890	partial putative integrase	cmr|Z5890|asap|ABH-0029463	partial putative integrase [Z5890]
	FALSE	garD	(D)-galactarate dehydrogenase	cmr|b3128|asap|ABE-0010284	putative hydrolase [b3128]
	FALSE	ECs3076	putative ATP-dependent helicase	cmr|ECs3076|asap|ACA-0133084	putative ATP-dependent helicase [ECs3076]
	FALSE	Z5163	hypothetical protein	cmr|Z5163|asap|ABH-0028803	orf Unknown function [Z5163]
	FALSE	cspI	Qin prophage; cold shock protein	cmr|b1552|asap|ABE-0005183	cold shock-like protein [b1552]
	FALSE	Z2095	unknown protein encoded within prophage CP-933O	cmr|Z2095|asap|ABH-0025874	unknown protein encoded within prophage CP-933O [Z2095]
	FALSE	arrQ	Qin prophage; predicted lysozyme	cmr|b1554|asap|ABE-0005189	putative lysozyme [b1554]
cmr|c_1469|asap|ABR-0077577	FALSE			cmr|c_1469|asap|ABR-0077577	Hypothetical protein [c_1469]
	FALSE	Z2754	hypothetical protein	cmr|Z2754|asap|ABH-0026513	orf, hypothetical protein [Z2754]
	FALSE	Z3292	hypothetical protein	cmr|Z3292|asap|ABH-0027020	orf Unknown function [Z3292]
	FALSE	ECs1281	hypothetical protein	cmr|ECs1281|asap|ACA-0131209	hypothetical protein [ECs1281]
cmr|c_0964|asap|ABR-0077055	FALSE			cmr|c_0964|asap|ABR-0077055	Phage baseplate assembly protein [c_0964]
	FALSE	envY	DNA-binding transcriptional activator of porin biosynthesis	cmr|b0566|asap|ABE-0001935	envelope protein; thermoregulation of porin biosynthesis [b0566]
	FALSE	yiaF	conserved protein	cmr|b3554|asap|ABE-0011606	orf, hypothetical protein [b3554]
	FALSE	ECs2269	hypothetical protein	cmr|ECs2269|cmr|ECs2195|cmr|ECs1522|cmr|ECs1082	hypothetical protein [ECs2269]
	FALSE	mglB	galactose-binding transport protein; receptor for galactose taxis	cmr|Z3405|asap|ABH-0027127	galactose-binding transport protein receptor for galactose taxis [Z3405]
cmr|c_0957|asap|ABR-0077048	FALSE			cmr|c_0957|asap|ABR-0077048	Fels-2 prophage: probable prophage lysozyme [c_0957]
	FALSE	tpiA	triosephosphate isomerase	cmr|b3919|asap|ABE-0012799	triosephosphate isomerase [b3919]
cmr|c_2740	FALSE			cmr|c_2740	Hypothetical protein [c_2740]
	FALSE	mdlA	fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components	cmr|b0448|asap|ABE-0001555	ATP-binding component of a transport system [b0448]
	FALSE	ECs2356	hypothetical protein	cmr|ECs2356|asap|ACA-0132337	hypothetical protein [ECs2356]
	FALSE	nanR	DNA-binding transcriptional dual regulator	cmr|b3226|asap|ABE-0010584	putative FADA-type transcriptional regulator [b3226]
	FALSE	fabG	3-ketoacyl-(acyl-carrier-protein) reductase	cmr|ECs4340|asap|ACA-0134412	putative 3-oxoacyl- [ECs4340]
	FALSE	ydiN	predicted transporter	cmr|b1691|asap|ABE-0005648	putative amino acid/amine transport protein [b1691]
	FALSE	thrB	homoserine kinase	cmr|b0003|asap|ABE-0000010	homoserine kinase [b0003]
	FALSE	ygbM	hypothetical protein	cmr|c_3300|asap|ABR-0079456	Hypothetical protein ygbM [c_3300]
	FALSE	Z3069	unknown protein encoded within prophage CP-933U	cmr|Z3069|asap|ABH-0026802	unknown protein encoded within prophage CP-933U [Z3069]
	FALSE	bcsA	cellulose synthase, catalytic subunit	cmr|b3533|asap|ABE-0011547	putative cellulose synthase [b3533]
	FALSE	ccmA	heme exporter subunit	cmr|b2201|asap|ABE-0007279	ATP binding protein of heme exporter A [b2201]
	FALSE	rtcA	RNA 3'-terminal phosphate cyclase	cmr|b3420|asap|ABE-0174104	RNA 3-terminal phosphate cyclase [b3420]
	FALSE	yidJ	predicted sulfatase/phosphatase	cmr|b3678|asap|ABE-0012024	putative sulfatase [b3678]
	FALSE	yjiM	predicted 2-hydroxyglutaryl-CoA dehydratase	cmr|b4335|asap|ABE-0014214	orf, hypothetical protein [b4335]
	FALSE	garL	alpha-dehydro-beta-deoxy-D-glucarate aldolase	cmr|b3126|asap|ABE-0010276	orf, hypothetical protein [b3126]
	FALSE	Z5225	putative major fimbrial subuit	cmr|Z5225|asap|ABH-0028865	putative major fimbrial subuit [Z5225]
	FALSE	ybjT	putative dTDP-glucose enzyme	cmr|Z1103|asap|ABH-0024927	putative dTDP-glucose enzyme [Z1103]
	FALSE	Z0974	putative tail component of prophage CP-933K	cmr|Z0974|asap|ABH-0024801	putative tail component of prophage CP-933K [Z0974]
	FALSE	yafK	conserved protein	cmr|b0224|asap|ABE-0000757	orf, hypothetical protein [b0224]
	FALSE	yjfJ	predicted transcriptional regulator effector protein	cmr|b4182|asap|ABE-0013689	putative alpha helical protein [b4182]
	FALSE	metK	methionine adenosyltransferase 1	cmr|b2942|asap|ABE-0009650	methionine adenosyltransferase 1 [b2942]
	FALSE	potD	polyamine transporter subunit	cmr|b1123|asap|ABE-0003789	spermidine/putrescine periplasmic transport protein [b1123]
	FALSE	hisA	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	cmr|Z3186|asap|ABH-0026910	N- [Z3186]
	FALSE	yjdJ	predicted acyltransferase with acyl-CoA N-acyltransferase domain	cmr|b4127|asap|ABE-0013515	orf, hypothetical protein [b4127]
	FALSE	tyrB	tyrosine aminotransferase, tyrosine-repressible, PLP-dependent	cmr|b4054|asap|ABE-0013278	tyrosine aminotransferase, tyrosine repressible [b4054]
	FALSE	Z1972	partial putative adhesion protein	cmr|Z1972|asap|ABH-0025762	partial putative adhesion protein [Z1972]
	FALSE	panC	pantoate--beta-alanine ligase	cmr|Z0144|asap|ABH-0024050	pantothenate synthetase [Z0144]
	FALSE	yfdR	Hypothetical protein yfdR	cmr|c_3202|asap|ABR-0079351	Hypothetical protein yfdR [c_3202]
	FALSE	ECs1788	hypothetical protein	cmr|ECs1788|cmr|ECs1967|cmr|ECs2255|asap|ACA-0131746	hypothetical protein [ECs1788]
	FALSE	Z2092	unknown protein encoded within prophage CP-933O	cmr|Z2092|asap|ABH-0025871	unknown protein encoded within prophage CP-933O [Z2092]
	FALSE	mdtB	multidrug efflux system, subunit B	cmr|b2075|asap|ABE-0006874	orf, hypothetical protein [b2075]
	FALSE	mutS	DNA mismatch repair protein	cmr|Z4043|asap|ABH-0027713	methyl-directed mismatch repair [Z4043]
	FALSE	yfeD	predicted DNA-binding transcriptional regulator	cmr|b2399|asap|ABE-0007909	orf, hypothetical protein [b2399]
	FALSE	ECs3296	thiosulfate transporter subunit	cmr|ECs3296|asap|ACA-0133315	thiosulfate binding protein [ECs3296]
cmr|c_4501|asap|ABR-0080680	FALSE			cmr|c_4501|asap|ABR-0080680	Putative conserved protein [c_4501]
	FALSE	ECs2950	putative minor tail protein	cmr|ECs2950|cmr|ECs1113|asap|ACA-0132956|asap|ACA-0131033	putative minor tail protein [ECs2950]
cmr|c_0426|asap|ABR-0076502	FALSE			cmr|c_0426|asap|ABR-0076502	Hypothetical protein [c_0426]
	FALSE	ybaO	predicted DNA-binding transcriptional regulator	cmr|b0447|asap|ABE-0001553	putative LRP-like transcriptional regulator [b0447]
	FALSE	yneN	two component system connector membrane protein, EvgSA to PhoQP	cmr|b1500	orf, hypothetical protein [b1500]
	FALSE	spoT	bifunctional (p)ppGpp synthetase II/ guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase	cmr|b3650|asap|ABE-0011935	bifunctional (p)ppGpp synthetase II and guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase [b3650]
	FALSE	ECs1101	hypothetical protein	cmr|ECs1101|cmr|ECs2736|asap|ACA-0131020|asap|ACA-0132727	hypothetical protein [ECs1101]
	FALSE	ECs0416	putative regulatory protein	cmr|ECs0416|asap|ACA-0130307	putative regulatory protein [ECs0416]
cmr|c_5019|asap|ABR-0081227	FALSE			cmr|c_5019|asap|ABR-0081227	Hypothetical protein yjbO [c_5019]
cmr|c_4497|asap|ABR-0080675	FALSE			cmr|c_4497|asap|ABR-0080675	Putative glucosidase [c_4497]
	FALSE	nhaR	DNA-binding transcriptional activator	cmr|b0020|asap|ABE-0000072	transcriptional activator of nhaA [b0020]
cmr|c_1592|asap|ABR-0077703	FALSE			cmr|c_1592|asap|ABR-0077703	Hypothetical protein [c_1592]
	FALSE	yqgF	predicted Holliday junction resolvase	cmr|b2949|asap|ABE-0009672	orf, hypothetical protein [b2949]
	FALSE	ydjN	Hypothetical symporter ydjN	cmr|c_2128|asap|ABR-0078247	Hypothetical symporter ydjN [c_2128]
cmr|c_1691|asap|ABR-0077802	FALSE			cmr|c_1691|asap|ABR-0077802	Putative gumP homolog [c_1691]
	FALSE	Z1663	hypothetical protein	cmr|Z1663|cmr|Z1225|cmr|Z5093|asap|ABH-0025047	orf Unknown function [Z1663]
	FALSE	trpR	DNA-binding transcriptional repressor, tryptophan-binding	cmr|b4393|asap|ABE-0014408	regulator for trp operon and aroH; trp aporepressor [b4393]
	FALSE	ECs4189	bacterioferritin, iron storage and detoxification protein	cmr|ECs4189|asap|ACA-0134261	bacterioferrin [ECs4189]
	FALSE	Z4585	putative cryptic C4-dicarboxylate transporter DcuD	cmr|Z4585|asap|ABH-0028255	putative transport protein [Z4585]
	FALSE	ECs0949	hypothetical protein	cmr|ECs0949|asap|ACA-0130862	hypothetical protein [ECs0949]
	FALSE	dmsD	twin-argninine leader-binding protein for DmsA and TorA	cmr|b1591|asap|ABE-0005314	putative oxidoreductase component [b1591]
	FALSE	nhaA	sodium-proton antiporter	cmr|b0019|asap|ABE-0000068	Na+/H antiporter, pH dependent [b0019]
	FALSE	yegL	conserved protein	cmr|b2073|asap|ABE-0006867	orf, hypothetical protein [b2073]
	FALSE	ydfO	Qin prophage; predicted protein	cmr|b1549|asap|ABE-0005175	orf, hypothetical protein [b1549]
	FALSE	Z2201	putative fimbrial chaperone protein	cmr|Z2201|asap|ABH-0025975	putative fimbrial chaperone protein [Z2201]
	FALSE	ECs4384	ShuX-like protein	cmr|ECs4384|asap|ACA-0134456	ShuX-like protein [ECs4384]
	FALSE	frcK	putative fructose transport system kinase	cmr|ECs3804|asap|ACA-0133847	putative kinase [ECs3804]
	FALSE	ssuC	alkanesulfonate transporter subunit	cmr|b0934|asap|ABE-0003175	putative transport system permease protein [b0934]
	FALSE	fdoH	formate dehydrogenase-O, iron-sulfur subunit	cmr|Z5435|asap|ABH-0029042	formate dehydrogenase-O, iron-sulfur subunit [Z5435]
	FALSE	ECs2287	excisionase	cmr|ECs2287|asap|ACA-0132268	excisionase [ECs2287]
	FALSE	yddG	predicted methyl viologen efflux pump	cmr|b1473|asap|ABE-0004912	orf, hypothetical protein [b1473]
	FALSE	yedJ	predicted phosphohydrolase	cmr|b1962|asap|ABE-0006512	orf, hypothetical protein [b1962]
cmr|c_0182|asap|ABR-0076246	FALSE			cmr|c_0182|asap|ABR-0076246	Hypothetical protein [c_0182]
